episode,return,length,value_loss
1,341.167743,354,0.0
2,190.741172,241,0.0
3,28.769342,128,0.0
4,12.148371,116,0.0
5,32.128103,131,0.0
6,380.275433,386,0.0
7,32.861755,133,0.0
8,20.095001,122,0.0
9,199.43483,250,0.0
10,360.981536,361,601.84772439003
11,529.692993,477,601.84772439003
12,164.426933,227,601.84772439003
13,396.483864,382,601.84772439003
14,235.338995,274,601.84772439003
15,474.684263,448,601.84772439003
16,335.025844,343,344.72539954185487
17,323.820043,330,344.72539954185487
18,362.588368,360,344.72539954185487
19,359.679179,362,344.72539954185487
20,156.920819,220,344.72539954185487
21,172.917186,227,344.72539954185487
22,510.450478,461,354.61288299560545
23,531.168787,483,354.61288299560545
24,194.765439,243,354.61288299560545
25,519.63202,465,354.61288299560545
26,511.279761,474,354.61288299560545
27,736.959271,615,290.8124002456665
28,500.468139,463,290.8124002456665
29,720.77173,613,290.8124002456665
30,11.144245,116,290.8124002456665
31,165.36964,227,290.8124002456665
32,193.639957,245,391.22862420082095
33,672.203188,577,391.22862420082095
34,675.740765,569,391.22862420082095
35,200.98025,252,391.22862420082095
36,326.596622,343,391.22862420082095
37,236.014284,275,336.0728253364563
38,674.091988,583,336.0728253364563
39,893.096035,743,336.0728253364563
40,194.448825,246,336.0728253364563
41,498.339641,461,336.0728253364563
42,212.316749,259,273.6908614873886
43,305.331381,323,273.6908614873886
44,328.581801,338,273.6908614873886
45,1031.834845,841,273.6908614873886
46,362.295651,359,309.0014000415802
47,528.648719,470,309.0014000415802
48,181.849503,233,309.0014000415802
49,479.823055,448,309.0014000415802
50,371.594141,370,309.0014000415802
51,325.555811,331,309.0014000415802
52,157.745201,218,285.3495405673981
53,181.182577,234,285.3495405673981
54,176.532272,230,285.3495405673981
55,857.177274,695,285.3495405673981
56,346.132742,350,285.3495405673981
57,190.862008,246,285.3495405673981
58,162.226741,221,302.98492565155027
59,157.25245,223,302.98492565155027
60,1075.783706,852,302.98492565155027
61,1174.628983,930,302.98492565155027
62,313.506749,327,188.56190588474274
63,10.684415,116,188.56190588474274
64,329.200463,343,188.56190588474274
65,186.097346,238,188.56190588474274
66,529.298123,483,188.56190588474274
67,395.165584,383,188.56190588474274
68,498.088391,463,319.85450463294984
69,1052.574379,835,319.85450463294984
70,38.276819,139,319.85450463294984
71,530.141124,484,319.85450463294984
72,381.649605,375,227.4028135061264
73,1046.812461,841,227.4028135061264
74,316.050853,335,227.4028135061264
75,1043.454257,833,185.90950216054915
76,694.220452,589,185.90950216054915
77,334.336749,339,185.90950216054915
78,1197.560094,943,185.90950216054915
79,1031.888159,818,189.508691740036
80,217.7148,262,189.508691740036
81,334.190052,340,189.508691740036
82,933.537153,752,189.508691740036
83,335.913894,343,118.50140190124512
84,720.792074,605,118.50140190124512
85,366.300509,371,118.50140190124512
86,649.342058,570,118.50140190124512
87,169.76551,228,233.19972003698348
88,846.869247,699,233.19972003698348
89,1194.00282,938,233.19972003698348
90,1245.792676,977,216.55141912698747
91,584.362013,510,216.55141912698747
92,333.203672,341,216.55141912698747
93,339.964495,346,216.55141912698747
94,371.309525,366,178.30076079368592
95,329.63506,340,178.30076079368592
96,529.110933,480,178.30076079368592
97,514.127099,463,178.30076079368592
98,707.07836,604,178.30076079368592
99,496.305383,464,231.34999375343324
100,355.431037,358,231.34999375343324
101,1377.116966,1000,231.34999375343324
102,500.447621,459,164.05284270048142
103,889.023174,730,164.05284270048142
104,182.120832,232,164.05284270048142
105,804.505899,676,164.05284270048142
106,665.01911,579,191.991868686676
107,735.254894,626,191.991868686676
108,337.173991,338,191.991868686676
109,197.006875,251,191.991868686676
110,1378.429956,1000,181.85273948907852
111,1369.499042,1000,181.85273948907852
112,671.551899,571,93.08521484732628
113,1451.979746,1000,93.08521484732628
114,524.507428,469,93.08521484732628
115,402.900994,390,93.08521484732628
116,1366.062008,1000,168.51538796424865
117,475.172103,441,168.51538796424865
118,190.943508,248,168.51538796424865
119,857.039234,703,293.09687173366547
120,823.589407,679,293.09687173366547
121,1003.104637,820,293.09687173366547
122,1047.364793,839,102.63853012323379
123,1363.333472,1000,102.63853012323379
124,1247.117851,981,104.98336079120637
125,881.512694,721,104.98336079120637
