episode,return,length,critic_loss
198,-1329.532864,94,614.8985595703125
199,-795.109355,393,1087.584716796875
200,-1025.037685,269,614.7664794921875
201,-718.962427,445,664.58642578125
202,-1011.021928,262,1095.236083984375
203,-1167.877762,184,913.3338012695312
204,161.898963,923,524.1947631835938
205,-591.821368,498,767.526611328125
206,-234.528831,713,1216.57080078125
207,-903.795612,331,800.7022705078125
208,-839.500193,365,794.3833618164062
209,1.0917,822,974.1600341796875
210,-65.637538,786,915.7897338867188
211,-801.799491,367,1730.8009033203125
212,-537.624139,534,1122.51611328125
213,-664.913344,452,1588.02783203125
214,-52.444207,790,1070.600830078125
215,-754.350704,399,520.1304321289062
216,-920.024214,322,573.902587890625
217,876.762181,1000,908.1072998046875
218,-293.06096,650,850.0986328125
219,-346.814775,655,974.4329223632812
220,-909.55551,329,688.8826904296875
221,-716.643409,442,904.6114501953125
222,-790.247715,377,1909.58642578125
223,-992.386208,292,814.0635986328125
224,-814.140058,397,512.029296875
225,-630.034557,483,1059.4344482421875
226,-953.933343,296,775.8681640625
227,-132.036123,776,1267.5819091796875
228,-389.773424,627,662.5358276367188
229,-261.52002,666,895.9854736328125
230,-973.548424,295,1328.4453125
231,-103.406861,771,425.53021240234375
232,-823.415129,379,705.6016235351562
233,-620.512368,478,868.2449951171875
234,-423.201127,593,434.49114990234375
235,-1204.260059,166,743.8244018554688
236,-371.837286,646,451.6177978515625
237,-689.562234,443,1428.3623046875
238,-114.722322,763,1637.254150390625
239,-437.596433,588,1466.053466796875
240,-294.247517,661,552.2666625976562
241,-124.220176,773,1403.366455078125
242,-193.314681,710,317.3038330078125
243,-966.310395,292,842.742919921875
244,-794.158777,390,943.9393310546875
245,-543.56461,523,552.6592407226562
246,277.942912,979,1577.296142578125
247,-628.565455,488,304.46142578125
248,21.945264,857,718.21240234375
249,-1004.053591,288,1008.0526123046875
250,-902.539317,340,496.3794860839844
251,-1145.807596,195,632.0548095703125
252,-77.507443,796,1454.3798828125
253,-829.094259,374,433.1584777832031
254,-1033.255568,260,710.682861328125
255,-615.787884,502,506.02337646484375
256,-968.615726,300,518.6595458984375
257,-945.454225,323,472.79058837890625
258,-282.038559,678,533.0936279296875
259,-1022.928237,266,1186.36083984375
260,-963.924679,298,1513.664794921875
261,-603.57838,487,1415.549560546875
262,-888.543924,351,1075.7930908203125
263,-646.91802,481,898.3248291015625
264,-833.311707,380,1843.32958984375
265,-663.941033,463,631.378173828125
266,-640.268739,501,797.861572265625
267,-297.693448,656,1629.14404296875
268,-247.978115,675,428.30487060546875
269,-514.941141,534,1190.489990234375
270,-408.946431,614,1169.95751953125
271,-1010.456147,270,907.935791015625
272,-770.263915,411,390.18505859375
273,-1309.022558,107,536.101806640625
274,-443.320469,568,499.9982604980469
275,-1142.260993,195,532.3721313476562
276,-735.50411,430,826.364013671875
277,-840.742318,370,435.5140380859375
278,-511.006638,552,702.7823486328125
279,-169.752823,732,673.609619140625
280,-816.26657,381,791.0133666992188
281,-793.838898,390,414.52880859375
282,-882.133077,347,1107.19970703125
283,-841.95085,364,686.5579833984375
284,-397.348854,610,558.3104248046875
285,1333.094642,1000,1054.368896484375
286,-606.368629,497,364.7473449707031
287,-108.731967,762,1567.9263916015625
288,-260.527956,688,463.1358642578125
289,68.662094,840,1382.24072265625
290,-661.613251,460,998.5209350585938
291,-1332.807451,97,770.4892578125
292,-683.251098,451,1009.01708984375
293,854.255375,1000,897.0598754882812
294,-1039.982368,259,648.50634765625
295,-1127.426231,203,522.341552734375
296,-467.743754,571,592.2722778320312
297,-1197.456913,170,774.3346557617188
298,-595.15167,507,1245.12060546875
299,-786.236156,397,315.64166259765625
300,-841.972544,349,565.387939453125
301,-164.605083,724,533.9779052734375
302,212.546717,947,1284.97998046875
303,44.884967,880,277.0187072753906
304,-1216.847597,167,714.2132568359375
305,-598.295126,500,864.9664306640625
306,-323.525667,648,476.350830078125
307,-993.675923,286,843.4375
308,-667.450872,482,666.853759765625
309,-524.57387,559,1156.99609375
310,-936.45088,313,325.81060791015625
311,-693.561504,452,447.94940185546875
312,-836.653974,362,741.72265625
313,-1027.561814,259,345.1809387207031
314,-966.422143,289,1260.6239013671875
315,-708.436384,438,908.2388916015625
316,-5.428805,852,689.6088256835938
317,-2.118901,836,547.965576171875
318,-997.822392,273,493.23980712890625
319,836.908224,1000,894.456298828125
320,-1330.786413,102,772.5468139648438
321,1305.186521,1000,571.6835327148438
322,-1048.123002,258,623.2542724609375
323,-817.868925,387,880.314453125
324,-730.625276,419,294.3924255371094
325,1372.804555,1000,1204.843994140625
326,-255.841609,666,678.6300659179688
327,-437.22154,595,498.511962890625
328,48.099193,853,560.1312866210938
329,-362.403837,634,778.9345703125
330,-730.21887,439,282.202392578125
331,-308.846314,683,654.0717163085938
332,-662.630188,477,1096.85400390625
333,-154.505237,739,541.7471923828125
334,-1158.018249,195,554.5648193359375
335,-667.862146,454,846.762451171875
336,-1330.002777,94,334.911376953125
337,-305.955643,708,903.6279296875
338,-885.322576,348,1288.0728759765625
339,-189.636298,722,638.2066650390625
340,-1039.321606,249,418.138671875
341,-395.193053,604,530.190185546875
342,1381.357395,1000,767.387939453125
343,-129.6649,793,399.08111572265625
344,-858.386856,343,822.3416137695312
345,-1173.027002,199,857.031494140625
346,68.983263,874,277.90313720703125
347,158.783317,894,392.4937744140625
348,-345.565752,664,439.01043701171875
349,-684.479521,456,662.5736694335938
350,-1118.806565,209,394.36248779296875
351,-719.596029,422,393.7225036621094
352,-136.249115,765,1012.0
353,203.241714,933,1042.156494140625
354,1401.306752,1000,329.10430908203125
355,37.751722,850,552.367431640625
356,92.25181,869,643.6409301757812
357,-885.775651,348,475.72625732421875
358,-843.757693,375,381.10626220703125
359,255.476767,952,717.4612426757812
360,3.712367,817,1133.875244140625
361,-856.416468,356,346.2938232421875
362,852.639813,1000,1191.188232421875
363,-819.08945,379,1113.04833984375
364,191.223666,945,497.4768981933594
365,-494.316324,567,601.2958984375
366,-722.851479,417,817.6895751953125
367,-794.860996,395,404.45904541015625
368,-793.249324,403,704.9959716796875
369,-478.177334,562,535.865478515625
370,-344.742092,632,596.981689453125
371,1382.100819,1000,558.499267578125
372,-458.417228,586,1053.0032958984375
373,-350.753568,658,1141.5052490234375
374,-509.569682,546,725.7770385742188
375,-1192.837455,174,866.3189697265625
376,-811.969521,392,386.8281555175781
377,-639.412065,481,1166.40234375
378,-824.56138,371,1004.71142578125
379,-583.274911,485,721.2744140625
380,-285.430945,674,786.097412109375
381,-1184.341361,183,901.8556518554688
382,-956.333643,306,763.4190673828125
383,-810.178418,371,259.9288024902344
384,-339.087891,635,645.04150390625
385,-600.683841,500,1190.595458984375
386,847.568221,1000,564.6312255859375
387,-847.186362,373,538.00927734375
388,-468.947218,592,1241.073486328125
389,-536.167308,554,783.6298217773438
390,-782.210057,389,746.733642578125
391,-179.04194,712,517.1861572265625
392,-1146.867342,205,1092.1063232421875
393,841.000599,1000,333.42742919921875
394,-396.407432,589,830.3621826171875
395,-253.97908,693,426.60205078125
396,-1004.778818,279,670.980712890625
397,-280.410873,674,238.49911499023438
398,894.451081,1000,1595.37109375
399,-828.407402,373,836.6992797851562
400,-680.981571,451,960.411865234375
401,-134.484516,754,1419.61474609375
402,-1146.617057,210,559.2166748046875
403,-352.228251,632,990.9998168945312
404,-624.063002,487,1344.299560546875
405,-560.756044,515,444.998291015625
406,-977.012926,296,1214.389404296875
407,1817.066177,1000,719.2056884765625
408,219.809686,937,1283.18115234375
409,-1015.751985,280,508.94793701171875
410,62.581626,870,590.5128173828125
411,-11.484233,810,470.9252624511719
412,-553.628522,517,2124.08984375
413,-1283.130686,126,262.83892822265625
414,-484.658033,578,879.2724609375
415,-485.871354,561,498.720947265625
416,-603.9204,503,373.36492919921875
417,212.097388,923,497.862548828125
418,-463.797502,562,554.1654052734375
419,-490.915718,577,711.3502197265625
420,-152.621967,728,859.1988525390625
421,-534.80556,540,868.0830688476562
422,-191.627178,737,528.6150512695312
423,-99.73806,747,896.99365234375
424,-1169.019184,190,347.593505859375
425,18.383573,833,322.0841064453125
426,-714.778863,438,455.94879150390625
427,-147.336135,745,1109.69189453125
428,-1152.204835,194,926.7905883789062
429,-270.977224,676,965.2760009765625
430,-512.809925,550,389.3740234375
431,-63.350383,802,605.3030395507812
432,1418.770571,1000,601.1770629882812
433,-755.945489,424,599.1632690429688
434,1441.657901,1000,1243.98193359375
435,-397.359707,596,405.57598876953125
436,-753.059688,427,415.1650390625
437,-558.625387,543,1407.84423828125
438,-987.095803,278,520.8408203125
439,-35.88591,814,954.4027099609375
440,-765.205492,418,1081.983642578125
441,-951.991593,302,512.806884765625
442,-1047.357148,258,1136.203125
443,-859.929112,359,288.88458251953125
444,869.002612,1000,693.5859375
445,-323.641067,642,721.5853881835938
446,-469.347125,592,843.3867797851562
447,822.010379,1000,730.171142578125
448,19.27456,846,509.5919189453125
449,-592.712469,502,795.0533447265625
450,-218.17907,700,1170.583251953125
451,236.016873,969,732.7626953125
452,247.657385,951,364.42657470703125
453,-589.731502,504,351.3280029296875
454,-405.502498,601,493.90911865234375
455,-681.747732,448,1699.81689453125
456,1389.229534,1000,1008.0675659179688
457,-982.649167,288,917.8923950195312
458,-32.126178,800,861.00634765625
459,-17.557753,804,475.0657958984375
460,-614.353096,499,916.0472412109375
461,-769.279631,405,917.0068969726562
462,-288.737257,671,1101.34375
463,-1231.068815,160,305.8382568359375
